Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Number of Employees,Full Description,Website,Industries,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth
OXSPRING NETWORK SOLUTIONS LIMITED,https://www.crunchbase.com/organization/oxspring-network-solutions-limited,2000-01-01,year,11-50,,https://www.oxspring.com/,"Collaboration, Security, Software, Unified Communications, Wireless","Sheffield, Sheffield, United Kingdom","Oxspring Network Solutions are a Cisco partner specialising in the design, provision and on-going support of Cisco solutions.","866,916",,,,,,,,,,,,
Valueworks,https://www.crunchbase.com/organization/valueworks,2000-01-01,year,11-50,"Social landlords spend large sums on their capital works, and they hold a wealth of data in their housing, asset management and finance systems.  But this data is often gathered and stored on spreadsheets, so landlords struggle to turn its potential into insight for better management decision-making. Worse still, they lose auditable control over the cost and quality of their capital works, and get caught up in commercial disputes with their contractors and suppliers. Valueworks provides a shared collaborative software platform that gives landlords visibility into clean data, and control over the cost and quality of their capital works; while their contractors and suppliers receive well-structured programs of work -  reducing the number of disputes and ensuring they remain a supplier of choice.  Delivered as a service for a fixed monthly cost, our software integrates with all major housing, asset and finance systems, and a typical implementation takes no longer than five weeks. Our customers include Home Group, Flintshire County Council and Sutton Housing Partnership. In addition, we share strategic partnerships with Microsoft and Esuasive, allowing us to embed the latest data analysis and business intelligence functionality within our software, and to bring better customer service to tenants.",http://www.valueworks.co.uk,"Business Intelligence, Collaboration, Financial Services, FinTech, Software","Manchester, Manchester, United Kingdom",Valueworks offers a collaborative software platform to allow UK social landlords to automate all their business processes.,"968,130",,,,,,,,,,,,
Adesis Netlife,https://www.crunchbase.com/organization/adesis-netlife,2000-01-01,year,501-1000,"Adesis Netlife company is a 100% Spanish capital that provides comprehensive services in the field of Internet and new technologies. They perform all kinds of online projects. They are experts in consulting and internet strategy, web development and custom programming, user experience, and communication and marketing 2.0. Since 1999, they help their clients achieve their goals. More than 160 specialists with passion will make the users project a success. Trust, closeness and experience are their mottos.",http://www.adesis.com/#,Collaboration,"Madrid, Madrid, Spain","Adesis Netlife is a web designing,communications & online marketing solutions providers.","1,153,087",,,,,,,,,,,,
RESPECT,https://www.crunchbase.com/organization/respect-637d,2000-01-01,year,1-10,,https://respect2all.org,"Collaboration, Communities, Education, Non Profit, Social Assistance","Omaha, Nebraska, United States","RESPECT is a nonprofit organization that helps students, families, and communities for healthier and safer relationships.","1,268,687",,,,,,,,,,,,
NewStories,https://www.crunchbase.com/organization/newstories,2000-01-01,day,11-50,,https://newstories.org,"Collaboration, Communities, Non Profit, Professional Services","Spokane, Washington, United States","NewStories is a non-profit organization that offers various learning, community, leadership, and skill development programs.","1,288,641",179,,,,0,1,,100%,,"9,885,850",,
MINDWEST Strategies,https://www.crunchbase.com/organization/mindwest-strategies,2000-01-01,year,1-10,"MINDWEST Strategies consults to integrate communication, management and innovation for venture growth.  We leverage traditional and online media to collaborate, educate and market.   MINDWEST Strategies focuses on NEW MEDIA FOR HIGH PERFORMANCE (sm).   MINDWEST Strategies represents Business Catapult (www.businesscatapult.com) connecting entrepreneurs and investors in Washington, DC and national markets.  Business Catapult connects IEEE TechMatch members, investor groups, entrepreneurs, service providers and university entrepreneurship centers worldwide.",http://mindwest.net,"Advertising, Collaboration, Consulting, EdTech, Education, Publishing","Washington, District of Columbia, United States","Communication, Management, Innovation","1,743,593",,,,,,,,,,,,
Core Team,https://www.crunchbase.com/organization/core-team,2000-01-01,day,1-10,,http://www.core-team.dk,"Advice, Business Development, Collaboration","Køge, Sjelland, Denmark",Core-Team works with private and public companies providing them with development strategies for business optimization.,"2,000,717",,,,,,,,,,,,
Linkage Systems Corporation,https://www.crunchbase.com/organization/linkage-systems-corporation,2000-01-01,year,1-10,,https://www.linkagesystems.com/,"Collaboration, Software","Westborough, Massachusetts, United States","Linkage Systems is a privately owned software development company that focuses on software integration, creativity, and collaboration.","2,085,323",,,,,,,,,,,,
Evoluce,https://www.crunchbase.com/organization/evoluce,2000-01-01,year,1-10,"Founded in 2000, Evoluce AG, based in Hallbergmoos near Munich, is a leading manufacturer of high quality multi-touch displays. Evoluce as a supplier of core technology is supporting the trend for multi-user applications becoming an integral part of human-computer interaction. Evoluce has gained significant experience from the in-house development of multi-touch tracking software and Micro Layer screens. This has led to the innovative high-resolution optical-sensing technology used in large format frameless full HD multi-touch LCDs produced by Evoluce. Worldwide system integrators and developers already successfully use Evoluce hardware and software for their interactive design and applications.",http://www.evoluce.com,"Collaboration, Human Computer Interaction, Manufacturing, Software","Bayerbach, Bayern, Germany","Evoluce offers multi-touch monitor solutions, transparent LCD displays, and software for Kinect.","2,114,182",,,,,,,,,,,,
Air Products & Services,https://www.crunchbase.com/organization/air-products-services,2000-02-04,day,101-250,"Air Products & Services are professionally trained to custom design & build systems for a wide range of projects, collaborating with architects and contractors from beginning to end, to provide you with complete operational systems.",http://www.airproductsinc.com,"Collaboration, Consumer Electronics, Consumer Goods","Van Nuys, California, United States",Air Products & Services provides high quality products and services.,"564,181","3,811","11,010.67",-91.98%,300%,0,1,0%,100%,0%,"3,824,871","2,954,735",339.57%
